source_id,openalex_id,doi,title,year,venue,first_author,author_count,cited_by_count,is_top_venue,query_keys,themes,mechanism_tags,timescale,model_form,risk_flags,doi_url,landing_page_url
HLA0012,https://openalex.org/W3016902371,10.1038/s41562-020-0884-z,Using social and behavioural science to support COVID-19 pandemic response,2020,Nature Human Behaviour,Jay Joseph Van Bavel,42,5027,True,stress_coping_resilience;emotion_regulation_coping,general,stress_load;general,unspecified,review,none,https://doi.org/10.1038/s41562-020-0884-z,https://doi.org/10.1038/s41562-020-0884-z
HLA0013,https://openalex.org/W4211130665,10.1111/j.1745-6924.2008.00088.x,Rethinking Rumination,2008,Perspectives on Psychological Science,Susan Nolen–Hoeksema,3,4947,True,emotion_regulation_coping,personality_temperament;relationship_attachment;autobiographical_narrative_memory,memory_reflection,weeks_to_years,review,none,https://doi.org/10.1111/j.1745-6924.2008.00088.x,https://doi.org/10.1111/j.1745-6924.2008.00088.x
HLA0032,https://openalex.org/W2032568497,10.1007/s12369-008-0001-3,"Measurement Instruments for the Anthropomorphism, Animacy, Likeability, Perceived Intelligence, and Perceived Safety of Robots",2008,International Journal of Social Robotics,Christoph Bartneck,4,3001,True,social_signal_processing;hci_anthropomorphism,personality_temperament;believable_social_agents;safety_ethics_dependency,dependency_guard,seconds_to_minutes,review,anthropomorphism,https://doi.org/10.1007/s12369-008-0001-3,https://doi.org/10.1007/s12369-008-0001-3
HLA0046,https://openalex.org/W2170298027,10.1037/0033-2909.134.4.504,Toward an integrative social identity model of collective action: A quantitative research synthesis of three socio-psychological perspectives.,2008,Psychological Bulletin,Martijn van Zomeren,3,2611,True,motivation_goal_regulation,needs_motivation_goals,goal_appraisal,weeks_to_years,theory_or_review,none,https://doi.org/10.1037/0033-2909.134.4.504,https://doi.org/10.1037/0033-2909.134.4.504
HLA0091,https://openalex.org/W2052685640,10.1016/j.tics.2013.09.007,"Interoceptive inference, emotion, and the embodied self",2013,Trends in Cognitive Sciences,Anil K. Seth,1,1768,True,interoception_predictive_processing,homeostasis_allostasis_interoception,interoceptive_prediction,unspecified,computational_model,none,https://doi.org/10.1016/j.tics.2013.09.007,https://doi.org/10.1016/j.tics.2013.09.007
HLA0104,https://openalex.org/W2171024980,10.1037/0033-2909.131.4.510,"Decision making, the P3, and the locus coeruleus--norepinephrine system.",2005,Psychological Bulletin,Sander Nieuwenhuis,3,1667,True,computational_psychiatry_latent,personality_temperament;computational_psychiatry_digital_phenotyping,memory_reflection,unspecified,review,clinical_boundary,https://doi.org/10.1037/0033-2909.131.4.510,https://doi.org/10.1037/0033-2909.131.4.510
HLA0108,https://openalex.org/W2092082779,10.1016/j.neuropsychologia.2006.01.010,Age-related change in executive function: Developmental trends and a latent variable analysis,2006,Neuropsychologia,Mariëtte Huizinga,3,1630,True,computational_psychiatry_latent,cognitive_resources;computational_psychiatry_digital_phenotyping,general,weeks_to_years,computational_model,clinical_boundary,https://doi.org/10.1016/j.neuropsychologia.2006.01.010,https://doi.org/10.1016/j.neuropsychologia.2006.01.010
HLA0113,https://openalex.org/W2109475526,10.1037/0022-3514.80.2.325,What is satisfying about satisfying events? Testing 10 candidate psychological needs.,2001,Journal of Personality and Social Psychology,Kennon M. Sheldon,4,1587,True,self_determination_needs,needs_motivation_goals;personality_temperament,need_satisfaction;goal_appraisal,weeks_to_years,theory_or_review,none,https://doi.org/10.1037/0022-3514.80.2.325,https://doi.org/10.1037/0022-3514.80.2.325
HLA0123,https://openalex.org/W2236052756,10.1111/jsr.12371,The two‐process model of sleep regulation: a reappraisal,2016,Journal of Sleep Research,Alexander A. Borbély,4,1540,True,circadian_sleep_fatigue;sleep_pressure_attention,circadian_sleep_fatigue;cognitive_resources;personality_temperament,energy_budget,hours_to_days,meta_analysis,clinical_boundary,https://doi.org/10.1111/jsr.12371,https://doi.org/10.1111/jsr.12371
HLA0131,https://openalex.org/W2150839178,10.1037/0033-2909.133.4.694,"Gaze cueing of attention: Visual attention, social cognition, and individual differences.",2007,Psychological Bulletin,Alexandra Frischen,3,1453,True,social_signal_processing;computational_psychiatry_latent,cognitive_resources;believable_social_agents;computational_psychiatry_digital_phenotyping,general,unspecified,review,clinical_boundary,https://doi.org/10.1037/0033-2909.133.4.694,https://doi.org/10.1037/0033-2909.133.4.694
