source_id,openalex_id,doi,title,year,venue,first_author,author_count,cited_by_count,is_top_venue,relevance_score,evidence_status,query_keys,themes,doi_url,landing_page_url
PERS00001,https://openalex.org/W2992965847,10.1177/1745691619873350,The “Why” and “How” of Narcissism: A Process Model of Narcissistic Status Pursuit,2019,Perspectives on Psychological Science,Stathis Grapsas,4,293,True,1.7172,abstract-only,big_five_structure;lexical_personality;caps_personality;personality_emotion_reactivity;attachment_dimensions,big_five_and_trait_structure;personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.1177/1745691619873350,https://doi.org/10.1177/1745691619873350
PERS00002,https://openalex.org/W2751386010,10.1037/pspp0000166,How do people think about interdependence? A multidimensional model of subjective outcome interdependence.,2017,Journal of Personality and Social Psychology,Fabiola H. Gerpott,5,212,True,1.6848,abstract-only,big_five_structure;lexical_personality;five_factor_validation;hexaco_model;personality_development;caps_personality,big_five_and_trait_structure;hexaco_and_moral_trait_extensions;personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;personality_agents_and_llm_persona,https://doi.org/10.1037/pspp0000166,https://doi.org/10.1037/pspp0000166
PERS00003,https://openalex.org/W2766023562,10.1002/per.2115,"Integrating Personality Structure, Personality Process, and Personality Development",2017,European Journal of Personality,Anna Baumert,19,493,True,1.6172,abstract-only,big_five_structure;hexaco_model;personality_development;personality_states_density;caps_personality;personality_emotion_reactivity,big_five_and_trait_structure;hexaco_and_moral_trait_extensions;personality_dynamics_and_state_distributions;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.1002/per.2115,https://doi.org/10.1002/per.2115
PERS00004,https://openalex.org/W2149373231,10.1002/per.1927,The Role of Personality Factors in the Reduction of Intergroup Anxiety and Amelioration of Outgroup Attitudes via Intergroup Contact,2013,European Journal of Personality,Rhiannon N. Turner,5,69,True,1.5476,abstract-only,five_factor_validation,big_five_and_trait_structure;hexaco_and_moral_trait_extensions;personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;personality_agents_and_llm_persona,https://doi.org/10.1002/per.1927,https://doi.org/10.1002/per.1927
PERS00005,https://openalex.org/W1819042414,10.1037/pspi0000033,The nature of social dominance orientation: Theorizing and measuring preferences for intergroup inequality using the new SDO₇ scale.,2015,Journal of Personality and Social Psychology,Arnold K. Ho,8,1113,True,1.52,abstract-only,big_five_structure;hexaco_model;caps_personality;personality_emotion_reactivity,hexaco_and_moral_trait_extensions;reinforcement_sensitivity_and_uncertainty;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.1037/pspi0000033,https://doi.org/10.1037/pspi0000033
PERS00006,https://openalex.org/W4312992177,10.57030/23364890.cemj.30.3.12,The Effect of Big Five Personality Traits on Leader Member Exchange and Organization Citizenship Behavior in Khyber Pakhtunkhwa Universities,2022,Central European Management Journal,Kubilay ÖZYER Muhammad Farooq Jan,1,3,False,1.5012,abstract-only,big_five_structure;lexical_personality,big_five_and_trait_structure;hexaco_and_moral_trait_extensions;personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.57030/23364890.cemj.30.3.12,https://doi.org/10.57030/23364890.cemj.30.3.12
PERS00007,https://openalex.org/W4413964974,10.22541/au.175693426.60427401/v1,Engineering Yourself as a Learner,2025,,Keith Alan Rothschild,1,0,False,1.5,abstract-only,lexical_personality;hexaco_model,big_five_and_trait_structure;hexaco_and_moral_trait_extensions;personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.22541/au.175693426.60427401/v1,https://doi.org/10.22541/au.175693426.60427401/v1
PERS00008,https://openalex.org/W4286457050,10.1177/17540739221114642,"Positive Cognitive Reappraisal in Stress Resilience, Mental Health, and Well-Being: A Comprehensive Systematic Review",2022,Emotion Review,Antje Riepenhausen,7,228,True,1.4912,abstract-only,caps_personality;personality_emotion_reactivity;emotion_regulation_personality;attachment_dimensions,personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.1177/17540739221114642,https://doi.org/10.1177/17540739221114642
PERS00009,https://openalex.org/W4224257942,10.1086/720513,Political Ideology and Consumption: Perspectives and Effects,2022,Journal of the Association for Consumer Research,Rashmi Adaval,2,20,False,1.488,abstract-only,need_for_closure,big_five_and_trait_structure;hexaco_and_moral_trait_extensions;personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.1086/720513,https://doi.org/10.1086/720513
PERS00010,https://openalex.org/W4320857696,10.1371/journal.pone.0280427,Attention to faces in images is associated with personality and psychopathology,2023,PLoS ONE,Marius Rubo,3,7,False,1.4828,abstract-only,personality_emotion_reactivity,big_five_and_trait_structure;hexaco_and_moral_trait_extensions;personality_dynamics_and_state_distributions;attachment_and_relationship_priors;reinforcement_sensitivity_and_uncertainty;emotion_regulation_and_reactivity;personality_agents_and_llm_persona,https://doi.org/10.1371/journal.pone.0280427,https://doi.org/10.1371/journal.pone.0280427
