source_id,openalex_id,doi,title,year,venue,first_author,author_count,cited_by_count,is_top_venue,query_keys,themes,scale_or_instrument,diagnostic_boundary,safety_risk_type,human_oversight,doi_url,landing_page_url
PSY0015,https://openalex.org/W2118185372,10.1002/da.10113,Development of a new resilience scale: The Connor-Davidson Resilience Scale (CD-RISC),2003,Depression and Anxiety,Kathryn M. Connor,2,11153,True,gad7_screening;who5_wellbeing;pss_stress,non_diagnostic_screening;clinical_scale_instruments,GAD;PSS,screening_or_validation,none,not_specified,https://doi.org/10.1002/da.10113,https://doi.org/10.1002/da.10113
PSY0037,https://openalex.org/W4211130665,10.1111/j.1745-6924.2008.00088.x,Rethinking Rumination,2008,Perspectives on Psychological Science,Susan Nolen–Hoeksema,3,4947,True,longitudinal_mood_modeling,longitudinal_state_modeling,none,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1111/j.1745-6924.2008.00088.x,https://doi.org/10.1111/j.1745-6924.2008.00088.x
PSY0050,https://openalex.org/W2488757378,10.1002/wps.20311,Understanding the burnout experience: recent research and its implications for psychiatry,2016,World Psychiatry,Christina Maslach,2,3665,True,dass21_distress,non_diagnostic_screening;clinical_scale_instruments,DASS,screening_only,none,not_specified,https://doi.org/10.1002/wps.20311,https://doi.org/10.1002/wps.20311
PSY0074,https://openalex.org/W3049547760,10.2196/21279,Effects of COVID-19 on College Students’ Mental Health in the United States: Interview Survey Study,2020,Journal of Medical Internet Research,Changwon Son,5,2773,True,wellbeing_screening;stress_burnout_screening;jitai_mental_health;measurement_based_care;engagement_adherence_digital,non_diagnostic_screening;digital_mental_health,none,screening_or_validation,none,not_specified,https://doi.org/10.2196/21279,https://doi.org/10.2196/21279
PSY0075,https://openalex.org/W3044137491,10.1016/s2215-0366(20)30308-4,Mental health before and during the COVID-19 pandemic: a longitudinal probability sample survey of the UK population,2020,The Lancet Psychiatry,Matthias Pierce,11,2767,True,mental_health_screening_primary_care;wellbeing_screening;measurement_based_care,non_diagnostic_screening;longitudinal_state_modeling,none,screening_or_validation,none,not_specified,https://doi.org/10.1016/s2215-0366(20)30308-4,https://doi.org/10.1016/s2215-0366(20)30308-4
PSY0086,https://openalex.org/W2765304416,10.2196/jmir.8775,"Beyond Adoption: A New Framework for Theorizing and Evaluating Nonadoption, Abandonment, and Challenges to the Scale-Up, Spread, and Sustainability of Health and Care Technologies",2017,Journal of Medical Internet Research,Trisha Greenhalgh,10,2567,True,mobile_sensing_mental_health;jitai_mental_health;digital_mental_health_interventions;mental_health_apps_evaluation,longitudinal_state_modeling;digital_mental_health,ISI,screening_only,none,not_specified,https://doi.org/10.2196/jmir.8775,https://doi.org/10.2196/jmir.8775
PSY0090,https://openalex.org/W2116251861,10.1002/j.2051-5545.2011.tb00014.x,"Physical illness in patients with severe mental disorders. I. Prevalence, impact of medications and disparities in health care",2011,World Psychiatry,Marc D. Binder,13,2470,True,audit_substance;longitudinal_mood_modeling,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling,ISI,screening_or_validation,ai_or_intervention_safety,not_specified,https://doi.org/10.1002/j.2051-5545.2011.tb00014.x,https://doi.org/10.1002/j.2051-5545.2011.tb00014.x
PSY0092,https://openalex.org/W2623779865,10.2196/mental.7785,Delivering Cognitive Behavior Therapy to Young Adults With Symptoms of Depression and Anxiety Using a Fully Automated Conversational Agent (Woebot): A Randomized Controlled Trial,2017,JMIR Mental Health,Kathleen Kara Fitzpatrick,3,2430,True,mobile_sensing_mental_health;jitai_mental_health;digital_mental_health_interventions;mental_health_apps_evaluation;online_cbt_digital;engagement_adherence_digital,clinical_scale_instruments;digital_mental_health;llm_chatbot_safety,PHQ;GAD;PANAS,screening_only,none,not_specified,https://doi.org/10.2196/mental.7785,https://doi.org/10.2196/mental.7785
PSY0098,https://openalex.org/W2891230948,10.1037/abn0000362,WHO World Mental Health Surveys International College Student Project: Prevalence and distribution of mental disorders.,2018,Journal of Abnormal Psychology,Randy P. Auerbach,19,2340,True,mental_health_screening_primary_care;wellbeing_screening;audit_substance;online_cbt_digital;crisis_response_digital_mental_health,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling;llm_chatbot_safety,GAD;ISI,screening_or_validation,crisis_or_self_harm,not_specified,https://doi.org/10.1037/abn0000362,https://doi.org/10.1037/abn0000362
PSY0152,https://openalex.org/W2789034326,10.1001/jamapsychiatry.2017.4602,Epidemiology of Adult <i>DSM-5</i> Major Depressive Disorder and Its Specifiers in the United States,2018,JAMA Psychiatry,Deborah S. Hasin,7,1700,True,measurement_based_care,non_diagnostic_screening;longitudinal_state_modeling,GAD,screening_only,none,not_specified,https://doi.org/10.1001/jamapsychiatry.2017.4602,https://doi.org/10.1001/jamapsychiatry.2017.4602
PSY0167,https://openalex.org/W2503814187,10.1017/s0033291716001665,Mental disorders among college students in the World Health Organization World Mental Health Surveys,2016,Psychological Medicine,Randy P. Auerbach,36,1549,True,longitudinal_mood_modeling,longitudinal_state_modeling,none,diagnostic_claim_present,none,not_specified,https://doi.org/10.1017/s0033291716001665,https://doi.org/10.1017/s0033291716001665
PSY0171,https://openalex.org/W2118256630,10.2196/jmir.4055,The Person-Based Approach to Intervention Development: Application to Digital Health-Related Behavior Change Interventions,2015,Journal of Medical Internet Research,Lucy Yardley,4,1534,True,mobile_sensing_mental_health;digital_mental_health_interventions;engagement_adherence_digital,longitudinal_state_modeling;digital_mental_health,none,screening_only,none,not_specified,https://doi.org/10.2196/jmir.4055,https://doi.org/10.2196/jmir.4055
PSY0180,https://openalex.org/W3095092064,10.1016/s2215-0366(20)30462-4,Bidirectional associations between COVID-19 and psychiatric disorder: retrospective cohort studies of 62 354 COVID-19 cases in the USA,2020,The Lancet Psychiatry,Maxime Taquet,4,1493,True,longitudinal_mood_modeling,longitudinal_state_modeling,none,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.1016/s2215-0366(20)30462-4,https://doi.org/10.1016/s2215-0366(20)30462-4
PSY0181,https://openalex.org/W2761197918,10.1177/1745691617709589,Mind the Hype: A Critical Evaluation and Prescriptive Agenda for Research on Mindfulness and Meditation,2017,Perspectives on Psychological Science,Nicholas T. Van Dam,15,1483,True,non_diagnostic_screening_distress;mental_health_screening_primary_care;longitudinal_mood_modeling;wearables_sleep_stress;jitai_mental_health;measurement_based_care,non_diagnostic_screening;longitudinal_state_modeling;digital_mental_health,ISI,screening_or_validation,ai_or_intervention_safety,not_specified,https://doi.org/10.1177/1745691617709589,https://doi.org/10.1177/1745691617709589
PSY0184,https://openalex.org/W2137767448,10.1197/jamia.m2025,"Personal Health Records: Definitions, Benefits, and Strategies for Overcoming Barriers to Adoption",2005,Journal of the American Medical Informatics Association,Paul C. Tang,5,1481,True,measurement_based_care,longitudinal_state_modeling,none,screening_only,none,not_specified,https://doi.org/10.1197/jamia.m2025,https://doi.org/10.1197/jamia.m2025
PSY0187,https://openalex.org/W3106386073,10.1038/s41562-020-01009-0,Ranking the effectiveness of worldwide COVID-19 government interventions,2020,Nature Human Behaviour,Nils Haug,9,1457,True,measurement_based_care,general,none,screening_only,none,not_specified,https://doi.org/10.1038/s41562-020-01009-0,https://doi.org/10.1038/s41562-020-01009-0
PSY0188,https://openalex.org/W3084167506,10.2196/22817,Investigating Mental Health of US College Students During the COVID-19 Pandemic: Cross-Sectional Survey Study,2020,Journal of Medical Internet Research,Xiaomei Wang,6,1447,True,mental_health_screening_primary_care;wellbeing_screening;phq9_screening;gad7_screening,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling,PHQ;GAD,screening_or_validation,none,not_specified,https://doi.org/10.2196/22817,https://doi.org/10.2196/22817
